"","prov","ninos_bajoPesoNacer","ind_VIA","ninos_desnuCroni","ninos_anem","ind_DdE","ind_DDHH","deve_activi","deve_inver"
"121","PADRE ABAD",5.70512820512821,0.478159308433533,18.8552188552189,42.7865612648221,0.627815139346148,0.438605303975358,1925.13059778775,1926.39319088893
"122","PURÚS",7.07070707070707,0.564269721508026,39.4736842105263,60.6060606060606,0.449670015732,0.348426822358967,4022.32690014008,2475.72463277967
"123","ABANCAY",5.19703026841804,0.359675228595734,16.2729026036644,30.1416917131816,0.789197575029927,0.521312966360625,9439.5085523049,1365.22522554184
"124","ANDAHUAYLAS",6.12878200155159,0.538192391395569,22.2560975609756,38.4409401963701,0.753816169326858,0.421882784759833,2910.13320964283,912.164506356262
"125","ANTABAMBA",2.76243093922652,0.606038212776184,25.9459459459459,20.3389830508475,0.676755598618505,0.323102353598462,3867.82259373316,2900.20218646547
"126","AYMARAES",6.79611650485437,0.620896399021149,17.3809523809524,28.133704735376,0.730736868568955,0.355128189993284,3278.17433763716,1682.60338121776
"127","CHINCHEROS",7.16803760282021,0.643692910671234,24.5118404653095,35.6943150046598,0.734699258948758,0.344303514850603,2881.23328196608,1430.76507924687
"128","COTABAMBAS",8.18438381937911,0.557417750358582,20.0601573345673,50.316169828365,0.655361238290182,0.372053682028399,3745.3509901372,4366.70627362389
"129","GRAU",6.51629072681704,0.60983955860138,19.0923317683881,45.1612903225806,0.713466086301918,0.304488319025415,3802.67568787534,1938.48799662441
"130","AREQUIPA",4.72708613943942,0.161888659000397,8.43699296917252,30.4283893735908,0.818828118150026,0.66933497919903,3187.45745333397,646.684922150952
"131","CAMANÁ",4.33031218529708,0.208391427993774,5.05341002465078,16.0849772382398,0.760651977930744,0.624133348573478,3781.98685101022,659.048398356058
"132","CARAVELÍ",3.83275261324042,0.254776477813721,7.6608784473953,31.5436241610738,0.723754268945559,0.616486844457873,2678.57113740669,1046.36960768593
"133","CASTILLA",2.6369168356998,0.336161613464356,14.0012070006035,29.3814432989691,0.78035267414317,0.566243808886177,4632.27902666174,1360.22320168091
"134","CAYLLOMA",3.04375396322131,0.353074371814728,15.2727272727273,67.2169811320755,0.704624896512953,0.588818268722751,1569.89275893519,1375.11531703053
"135","CONDESUYOS",4.33070866141732,0.413511574268341,16.9871794871795,37.3056994818653,0.668586249902372,0.581571123130452,6244.67903078537,6948.07899068419
"136","ISLAY",2.62793914246196,0.181297898292542,8.32659660468877,13.030303030303,0.775667897255883,0.630938131124971,1861.31233774701,1279.86656602133
"137","LA UNIÓN",7.14285714285714,0.600972294807434,28.8389513108614,33.9622641509434,0.765962727054128,0.357948486236479,4223.9135146766,2134.65901599332
"138","CANGALLO",6.03588907014682,0.678958296775818,27.4647887323944,23.9189189189189,0.690274899591426,0.329311567938455,3964.57461914629,1505.75950711424
"139","HUAMANGA",6.2328498627989,0.388425052165985,17.7381511027687,32.1662396811842,0.769309247736132,0.489395999823841,5630.58812603206,1100.62735312812
"140","HUANCA SANCOS",6.49350649350649,0.54135811328888,17.6113360323887,21.7142857142857,0.717187619083786,0.382788203623698,3670.91421985122,2737.39647415818
"141","HUANTA",5.25525525525525,0.553351700305939,17.3019330247754,20.8874005860193,0.702605811685876,0.389530096039708,2723.5921753663,1462.86567006295
"142","LA MAR",4.55104551045511,0.653019368648529,19.3730729701953,30.1477377654663,0.674297991113708,0.332574685607884,3016.22950550537,2036.64735637797
"143","LUCANAS",6.52173913043478,0.535847306251526,21.205597416577,47.3684210526316,0.702518340265248,0.425449006035701,4512.77718385796,2457.16478950889
"144","PARINACOCHAS",6.22119815668203,0.459165215492249,16.9402495075509,68.9516129032258,0.737773886915015,0.41744346365726,4214.50768859616,1530.17961744658
"145","PÁUCAR DEL SARA SARA",2.7027027027027,0.452917218208313,17.0506912442396,52.156862745098,0.760653287369121,0.435518521210977,5827.06394722435,2416.6734063287
"146","SUCRE",9.03225806451613,0.583140194416046,16.7394468704512,25,0.727263839329879,0.387487977919471,5519.36181575688,2804.35219777079
"147","FAJARDO",8.56164383561644,0.631630897521973,24.5755860953921,27.1028037383178,0.711960320411166,0.375382199657322,2358.52237242614,1603.85852730528
"148","VILCAS HUAMÁN",8.84146341463414,0.666528463363648,20.3562340966921,37.4570446735395,0.689339424428703,0.314307958949445,2506.73248717009,1644.35128024194
"149","ACOMAYO",5.15759312320917,0.646076142787933,19.3729903536978,62.2881355932203,0.738806692344631,0.297651102095443,2003.29723442551,1275.06058183955
"150","ANTA",5.05144995322732,0.541230082511902,18.2448979591837,53.1645569620253,0.714652077991473,0.394515119323147,1600.71218293908,818.529593502033
"151","CALCA",6.40138408304498,0.555459499359131,19.0367718841523,38.6885245901639,0.715023574009019,0.389339846392094,1862.8359392413,1016.64323824562
"152","CANAS",6.08424336973479,0.679729223251343,18.2074143594557,42.4821002386635,0.639552357434633,0.256786798672869,1556.03351161273,1289.56256519322
"153","CANCHIS",5.58408215661104,0.415762364864349,15.2131782945736,47.9968578161822,0.745852501639586,0.468225536616414,2311.01470610694,559.917268747891
"154","CHUMBIVILCAS",5.83214793741109,0.676181256771088,20.1547388781431,38.3981154299176,0.653317999914828,0.337228237205751,2594.84765230185,1899.64633629621
"155","CUSCO",6.21855785354947,0.264248728752136,12.7043632198271,42.6736869140876,0.826478607650598,0.665288583510104,5912.04622930986,705.31234141767
"156","ESPINAR",6.64739884393064,0.470849096775055,17.0170827858081,54.2662116040956,0.652421868403537,0.463360639814818,2857.38026042357,3043.07469234057
"157","LA CONVENCIÓN",3.90502967822555,0.52143520116806,19.1033489377026,33.3559322033898,0.687195977890566,0.45051159283271,4322.57753462809,2515.72231763774
"159","PAUCARTAMBO",7.0221066319896,0.771811962127686,21.5954606141522,57.1120689655172,0.653697450342292,0.242395128877282,2408.75347278076,1414.48604166667
"160","QUISPICANCHI",5.6592039800995,0.566102385520935,18.1157394464635,60.0846262341326,0.696383589379661,0.346616053888373,1890.91937692735,1060.78747572258
"161","URUBAMBA",5.56061987237922,0.382709145545959,15.5682407887909,40.7725321888412,0.753916751618078,0.538025492645071,1886.26949158536,1326.27892606902
"162","ACOBAMBA",9.67379077615298,0.68402373790741,30.0686772170797,74.5614035087719,0.701801059084214,0.308727887798234,2809.29200225179,911.154998362334
"163","ANGARAES",6.10766045548654,0.648433268070221,32.3943661971831,56.5916398713826,0.663669747148145,0.325894433932419,2443.00459142625,1482.51029678355
"164","CASTROVIRREYNA",8.04597701149425,0.673882186412811,27.3413897280967,49.0909090909091,0.635420094840312,0.395403763628716,4725.74120049566,1035.59610061958
"165","CHURCAMPA",8,0.706191539764404,25.2943741822939,35.3846153846154,0.684774234950884,0.320636220266902,3033.03879362087,873.089136139289
"166","HUANCAVELICA",8.69565217391304,0.484790742397308,25.863743582628,52.0586182833217,0.732806004329952,0.426498716124205,8703.24401431,1447.56745922145
"167","HUAYTARÁ",7.75193798449612,0.681980550289154,38.2702702702703,50.4065040650406,0.615092182837059,0.401376031385841,4404.7626769269,1567.37448602008
